id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497806223193878529,1497806223193878529,2022-02-27 11:00:06 India Standard Time,2022-02-27,11:00:06,+0530,255924292,techcircleindia,TechCircle,,RBI must address three key questions before digital rupee launch.  #RBI #digitalrupee @RBI @KwatraNikita @HAdarkar @theviksinha   https://t.co/3W3i74MWPT,en,"[{'screen_name': 'rbi', 'name': 'reservebankofindia', 'id': '478432912'}, {'screen_name': 'kwatranikita', 'name': 'nikita kwatra', 'id': '264646234'}, {'screen_name': 'hadarkar', 'name': 'hemant adarkar', 'id': '124233474'}, {'screen_name': 'theviksinha', 'name': 'vikram sinha', 'id': '144080462'}]",['https://bit.ly/3LYQcmc'],[],0,1,2,"['rbi', 'digitalrupee']",[],https://twitter.com/TechCircleIndia/status/1497806223193878529,False,,0,,,,,,,,[],,,,
1497494786336444417,1497494786336444417,2022-02-26 14:22:33 India Standard Time,2022-02-26,14:22:33,+0530,1035703436300283906,davidpremier,DAVID PREMIER,,Will the RBI-Issued #DigitalRupee Based on #Blockchain Technology Be a Big Boon For India? - Outlook India  https://t.co/1ma1XnAOg5  https://t.co/jQy3v7ArkR,en,[],['https://www.outlookindia.com/business/will-the-rbi-issued-digital-rupee-based-on-blockchain-technology-be-a-big-boon-for-india--news-184115?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FMgrkoyUcAEk9C-.jpg'],0,0,0,"['digitalrupee', 'blockchain']",[],https://twitter.com/davidpremier/status/1497494786336444417,False,,1,https://pbs.twimg.com/media/FMgrkoyUcAEk9C-.jpg,,,,,,,[],,,,
1497418644523040770,1497418644523040770,2022-02-26 09:20:00 India Standard Time,2022-02-26,09:20:00,+0530,22763833,outlookindia,Outlook Magazine,,"#OutlookMoney | @RBI is planning to introduce a #blockchain-based #DigitalCurrency   #DigitalRupee is likely to cater to educated and technology-savvy users, but the replacement of extant modes like cash and traditional banking is questionable  Read more:  https://t.co/bk9m7exoHV",en,"[{'screen_name': 'rbi', 'name': 'reservebankofindia', 'id': '478432912'}]",['https://www.outlookindia.com/business/will-the-rbi-issued-digital-rupee-based-on-blockchain-technology-be-a-big-boon-for-india--news-184115'],[],0,0,0,"['outlookmoney', 'blockchain', 'digitalcurrency', 'digitalrupee']",[],https://twitter.com/Outlookindia/status/1497418644523040770,False,,0,,,,,,,,[],,,,
1497159832608346116,1497159832608346116,2022-02-25 16:11:34 India Standard Time,2022-02-25,16:11:34,+0530,986921697638043649,viralbake,Viral Bake,,Digital Rupee Will Be A Better Than UPI Payment System; Find How? . . #Business #BusinessNews #DigitalRupee #UPI #Payments #FridayFeeling    https://t.co/dPCSKjue5E,en,[],['https://www.viralbake.com/digital-rupee-will-be-a-better-than-upi-payment-system-find-how/'],[],0,4,4,"['business', 'businessnews', 'digitalrupee', 'upi', 'payments', 'fridayfeeling']",[],https://twitter.com/viralbake/status/1497159832608346116,False,,0,,,,,,,,[],,,,
1497146271827591171,1497146271827591171,2022-02-25 15:17:41 India Standard Time,2022-02-25,15:17:41,+0530,4060155855,teamsignzy,Signzy,,"What is the Digital Rupee? Is it here to stay? Is it safe? Don’t worry, we got you covered. Here are the Top 4 must know facts about the Digital Rupee that will help you lean back, relax and get a grasp of the turns: #signzy #cryptocurrencies #digitalrupee #RBI #CBDC #cryptobill  https://t.co/Vah9wCywH9",en,[],[],"['https://pbs.twimg.com/media/FMbukm1VkAMePeF.jpg', 'https://pbs.twimg.com/media/FMbukm0VUAMajs5.jpg', 'https://pbs.twimg.com/media/FMbukm0VkAEhbN7.jpg', 'https://pbs.twimg.com/media/FMbukmyVkAcLoYz.jpg']",0,0,2,"['signzy', 'cryptocurrencies', 'digitalrupee', 'rbi', 'cbdc', 'cryptobill']",[],https://twitter.com/TeamSignzy/status/1497146271827591171,False,,1,https://pbs.twimg.com/media/FMbukm1VkAMePeF.jpg,,,,,,,[],,,,
1497088001700106240,1497088001700106240,2022-02-25 11:26:08 India Standard Time,2022-02-25,11:26:08,+0530,1463098096280236036,tethercommunity,Tether,,"Tether presents to you 'The Emergence of India's Digital Currency'.  Register now at  https://t.co/BWiVESgxUH Happening today! 4.30 pm onwards, see you there!   #Live #Budget #DigitalIndia #IndianDigitalCurrency #DigitalRupee #Events #TetherEvents #Blockchain  https://t.co/JBeG8jn6Mj",en,[],['https://tether.community/events/digitalcurrency/'],['https://pbs.twimg.com/media/FMa5du5VEAEZ6Lx.jpg'],0,0,1,"['live', 'budget', 'digitalindia', 'indiandigitalcurrency', 'digitalrupee', 'events', 'tetherevents', 'blockchain']",[],https://twitter.com/TetherCommunity/status/1497088001700106240,False,,1,https://pbs.twimg.com/media/FMa5du5VEAEZ6Lx.jpg,,,,,,,[],,,,
1496763374482325505,1496763374482325505,2022-02-24 13:56:11 India Standard Time,2022-02-24,13:56:11,+0530,68927629,moneycontrolcom,Moneycontrol,,"#MCProOpinion: India’s decision to launch a CBDC, or digital rupee, is apt. What will matter is the timing and design of the product.  by Aasheerwad Dwivedi | #CBDC #DigitalRupee   https://t.co/Gr5ND40iIR",en,[],['https://www.moneycontrol.com/news/opinion/cbdc-for-india-timing-and-design-are-the-key-8157361.html'],[],1,3,22,"['mcproopinion', 'cbdc', 'digitalrupee']",[],https://twitter.com/moneycontrolcom/status/1496763374482325505,False,,0,,,,,,,,[],,,,
1496734148954038273,1496734148954038273,2022-02-24 12:00:03 India Standard Time,2022-02-24,12:00:03,+0530,1169509628817731584,arvogsocial,Arvog,,"A boost to the economy: A digital rupee will be like banknotes, but minus the ATM (plus it will be a direct liability to RBI). Digital currency will also lead to a more efficient and cheaper currency management system.  Follow us for more news updates   #Arvog #DigitalRupee  https://t.co/5pHg9Gvbk6",en,[],[],['https://pbs.twimg.com/media/FMV3xu8XwAEmTbX.jpg'],0,0,1,"['arvog', 'digitalrupee']",[],https://twitter.com/ArvogSocial/status/1496734148954038273,False,,1,https://pbs.twimg.com/media/FMV3xu8XwAEmTbX.jpg,,,,,,,[],,,,
1496718475070377984,1496718475070377984,2022-02-24 10:57:46 India Standard Time,2022-02-24,10:57:46,+0530,255924292,techcircleindia,TechCircle,,RBI must address three key questions before digital rupee launch.  #RBI #digitalrupee @RBI @KwatraNikita @HAdarkar @theviksinha   https://t.co/3W3i754xHr,en,"[{'screen_name': 'rbi', 'name': 'reservebankofindia', 'id': '478432912'}, {'screen_name': 'kwatranikita', 'name': 'nikita kwatra', 'id': '264646234'}, {'screen_name': 'hadarkar', 'name': 'hemant adarkar', 'id': '124233474'}, {'screen_name': 'theviksinha', 'name': 'vikram sinha', 'id': '144080462'}]",['https://bit.ly/3LYQcmc'],[],0,0,2,"['rbi', 'digitalrupee']",[],https://twitter.com/TechCircleIndia/status/1496718475070377984,False,,0,,,,,,,,[],,,,
1496583425062424581,1496583425062424581,2022-02-24 02:01:08 India Standard Time,2022-02-24,02:01:08,+0530,22168349,sarbjeetjohal,Sarbjeet Johal,,Latest #CBDCs status…   Source:  https://t.co/qD5PBAPmbg  #cryptocurrency #crypto #digitalrupee  https://t.co/KOUOdrKUu3,en,[],['https://www.atlanticcouncil.org/cbdctracker/'],['https://pbs.twimg.com/media/FMTusXnVQAA0eqK.jpg'],0,0,1,"['cbdcs', 'cryptocurrency', 'crypto', 'digitalrupee']",[],https://twitter.com/sarbjeetjohal/status/1496583425062424581,False,,1,https://pbs.twimg.com/media/FMTusXnVQAA0eqK.jpg,,,,,,,[],,,,
1496492471765053440,1496492471765053440,2022-02-23 19:59:43 India Standard Time,2022-02-23,19:59:43,+0530,1463098096280236036,tethercommunity,Tether,,"2 days to go!  Tether presents to you 'The Emergence of India's Digital Currency', a panel discussion by eminent speakers. Register now at  https://t.co/BWiVERZuSH  #DigitalIndia #IndianDigitalCurrency #DigitalRupee #Events #TetherEvents  https://t.co/1sE2qt5di7",en,[],['https://tether.community/events/digitalcurrency/'],['https://pbs.twimg.com/media/FMSbyD3VIAQEBHw.jpg'],0,1,1,"['digitalindia', 'indiandigitalcurrency', 'digitalrupee', 'events', 'tetherevents']",[],https://twitter.com/TetherCommunity/status/1496492471765053440,False,,1,https://pbs.twimg.com/media/FMSbyD3VIAQEBHw.jpg,,,,,,,[],,,,
